oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor,
"Thermisch behandeltes Holz (1 m3, 409 kg/m3)",nicht vorhanden,1d2b97ed-0f6f-4a6a-acd5-ea13ff23d893,Thermisch behandeltes Holz,Holz - therm. Behandelt,EV+,EV+,0,
Tragdeckschicht,d84cbf6a-0a50-426f-aa3d-c45918b43575,24d554b6-a720-45a3-b80d-17a46e612f26,Tragdeckschicht  Beton,Beton Standard (ohne Bewehr.),RC+,RC+,1,
Tragdeckschicht,d84cbf6a-0a50-426f-aa3d-c45918b43575,24d554b6-a720-45a3-b80d-17a46e612f26,Tragdeckschicht  Beton - Störstoffkl. S4 (Neueinstuf.),Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75,
Tragende Wärmedämmelemente,nicht vorhanden,cc00224b-2ff6-4377-b518-c663039d6a4a,Tragende Wärmedämmelemente,nicht eingestuft,n.e.,n.e.,n.e.,
Transparente Platten PC,222023f8-36c2-4345-a863-b49828a41e96,690ebc5b-80ad-47c3-8d26-8db3504c7d81,Transparente Platten PC,KSTPlatte (zB transparente Platten),EV-,EV-,0,
"Transparente Platten PMMA, extrudiert",41b8a86d-5d44-49fb-a9b8-de2a9041f1fd,eda737e1-1012-4324-aff5-d070800468ab,"Transparente Platten PMMA, extrudiert",KSTPlatte (zB transparente Platten),EV-,EV-,0,
"Transparente Platten PMMA, gegossen",795ab193-fc50-463d-a5f8-e37d5336ee78,73f1bfa7-c79e-4129-bf1a-eee28cc3c85f,"Transparente Platten PMMA, gegossen",KSTPlatte (zB transparente Platten),EV-,EV-,0,
Transparente Platten PVC,5a88b96e-23d0-4656-9ee2-fc271c89c95b,4a2a46c8-b646-4cf5-b2d7-72c2c1a27fae,Transparente Platten PVC,PVC hart,SV,SV,0,
Transportbeton C20/25,9702d9ab-2af2-4fdc-9d99-225583a9ffb7,923e1c71-f172-4902-a5f5-c4a1e8a773bc,"Transportbeton C20/25 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1,
Transportbeton C20/25,9702d9ab-2af2-4fdc-9d99-225583a9ffb7,923e1c71-f172-4902-a5f5-c4a1e8a773bc,"Transportbeton C20/25 - exkl. Bewehrung, Störst.kl. S4 (Neueinstufung)",Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75,
Transportbeton C25/30,nicht vorhanden,d2ae1721-bb2a-4386-9d9f-abb1c774b0a8,"Transportbeton C25/30 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1,
Transportbeton C25/30,nicht vorhanden,d2ae1721-bb2a-4386-9d9f-abb1c774b0a8,"Transportbeton C25/30 - exkl. Bewehrung, Störst.kl. S4 (Neueinstufung)",Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75,
Transportbeton C30/37,a758fb6a-7fb1-4cdc-b652-c42cf2f7632c,258b377e-ec3b-4e8c-b3fd-dda1eb370f7d,"Transportbeton C30/37 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1,
Transportbeton C30/37,a758fb6a-7fb1-4cdc-b652-c42cf2f7632c,258b377e-ec3b-4e8c-b3fd-dda1eb370f7d,"Transportbeton C30/37 - exkl. Bewehrung, Störst.kl. S4 (Neueinstufung)",Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75,
Transportbeton C50/60,nicht vorhanden,079ed601-8b92-49cd-9c09-ab8e067366cf,"Transportbeton C50/60 - exkl. Bewehrung, Standard EoL",Beton Standard (ohne Bewehr.),RC+,RC+,1,
Transportbeton C50/60,nicht vorhanden,079ed601-8b92-49cd-9c09-ab8e067366cf,"Transportbeton C50/60 - exkl. Bewehrung, Störst.kl. S4 (Neueinstufung)",Beton - Störstoffkl. S4 (ohne Bewehr.),SV,RC-,0.75,
Trinkwasser,nicht vorhanden,eda13669-a0e3-4c7c-a56e-8d940106ad96,Trinkwasser,nicht eingestuft,n.e.,n.e.,n.e.,
Trinkwasserrohr PB,45db3c26-a316-4ba7-ade5-6adc43c71118,5cddd8d6-f777-4c55-99c4-7f8cb9f23a75,"Trinkwasserrohr PB, nicht eingestuft",nicht eingestuft,n.e.,n.e.,n.e.,
Trinkwasserrohr PE-X,9d623359-570b-40ca-8875-60dea3687846,a55d07bf-ce4b-427b-ab45-e4e1356c839b,"Trinkwasserrohr PE-X, nicht eingestuft",nicht eingestuft,n.e.,n.e.,n.e.,
Trinkwasserrohr PE-X-Alu,4c33a250-3979-4e5f-9a7c-0d351085da22,c9d466d3-d5cb-4be6-9ae3-609212c4438a,"Trinkwasserrohr PE-X-Alu, nicht eingestuft",nicht eingestuft,n.e.,n.e.,n.e.,
Trinkwasserrohre PE X-Alu-PE X,47165a1f-51e3-4612-b076-facd01e3b236,fc1c6f12-1e04-4c51-9836-81a4d7743528,"Trinkwasserrohre PE X-Alu-PE X, nicht eingestuft",nicht eingestuft,n.e.,n.e.,n.e.,
"Trockenestrich (Gipsfaserplatte, 25 mm)",a9a79b38-dc2c-4b51-a3cc-cf9fa0d299e7,3ef401d0-e1fc-4ff3-bf94-a3ee6a460fdf,Trockenestrich (Gipsfaserplatte),Gipsfaser,Dep+,RC-,0.25,
"Trockenestrich (Gipskartonplatte, 25 mm)",ab574186-139f-4816-b7c1-d457b1258c7d,93a02bbc-e268-4d2f-a8c4-7cda473b7eab,Trockenestrich (Gipskartonplatte),Gipsplatte,Dep+,CL+,0.75,
Übergabestation Fernwärme,nicht vorhanden,89956dbd-9cd4-4698-8e06-e7292f543246,Übergabestation Fernwärme,nicht eingestuft,n.e.,n.e.,n.e.,
Umwälzpumpe < 50W,nicht vorhanden,b28fcab6-a377-47bc-b013-246866b07283,Umwälzpumpe < 50W,nicht eingestuft,n.e.,n.e.,n.e.,
Umwälzpumpe 250-1000W,nicht vorhanden,5b5ed926-7052-48d3-a6b8-9039c04f5036,Umwälzpumpe 250-1000W,nicht eingestuft,n.e.,n.e.,n.e.,
Umwälzpumpe 50-250W,nicht vorhanden,700c0c68-8aec-48b8-a276-aa60a01babda,Umwälzpumpe 50-250W,nicht eingestuft,n.e.,n.e.,n.e.,
Unterspannbahn PE gewebeverstärkt,66a90b47-27b8-46ce-830e-8ed22f4165d8,e1a3feae-f090-41d7-8697-dfd5b28e0607,Unterspannbahn PE gewebeverstärkt,KSTBahn,EV-,EV-,0,
Unterspannbahn PP,deb7fe73-3eb8-4f80-937b-7ce3a0a977ed,9c355da1-8e97-448e-b66b-10e04316bf20,Unterspannbahn PP,KSTBahn,EV-,EV-,0,
Unterspannbahn PUR auf PET-Vlies,a92bd5a5-7cef-4050-8659-20a8d5a7a72b,d4dc2df9-deda-4b02-bb0d-952ce44d2fe6,Unterspannbahn PUR auf PET-Vlies,KSTBahn,EV-,EV-,0,
"Vakuum-Isolations-Paneel (VIP), unkaschiert",nicht vorhanden,1a6a306b-6c9f-4953-9bdf-2617a11e4d37,"Vakuum-Isolations-Paneel (VIP), unkaschiert",VIP,Dep+,Dep+,1,
Vegetationssubstrat,5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,4673fe2d-2d7b-40f6-906b-269fd056236e,Vegetationssubstrat,Substrat,CL+,CL+,1,
Voranstrich (Silikat-Dispersion),85c41389-d62e-4dff-a819-896b35367cbc,d6dc8844-4d8a-4abe-8ce9-db39c965f5bf,Voranstrich (Silikat-Dispersion),"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep+,Dep+,0,
Voranstrich (Silikonharz),nicht vorhanden,8ad88978-affe-46c4-9e69-73a886779876,Voranstrich (Silikonharz),"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep+,Dep+,0,
Vormauerziegel,f74a19da-df9a-4462-a632-3b3dc83377b1,34303fdd-b939-450a-9ca5-269773fc9d4d,Vormauerziegel (ohne Mörtel),"Ziegel - Vormauer, Vollziegel",RC+,RC+,1,
Vorschaltgerät EVG,nicht vorhanden,9a83d59d-08c0-4b96-8b4e-4f8bc894d58c,Vorschaltgerät EVG,nicht eingestuft,n.e.,n.e.,n.e.,
Vorschaltgerät VVG,nicht vorhanden,68c707ce-5b1b-4d7d-b21b-731bc8aaf0d1,Vorschaltgerät VVG,nicht eingestuft,n.e.,n.e.,n.e.,
Wannenleuchte (Feuchtraum) T8-36W (LFL),nicht vorhanden,1859ec2f-ff4c-4ac4-875e-dd1667cba59a,Wannenleuchte (Feuchtraum) T8-36W (LFL),nicht eingestuft,n.e.,n.e.,n.e.,
Waschbims,2603f11f-509b-4bf2-910e-2fd358c16ff3,d1c2e94a-6ff8-49c2-ae89-ccb6a0f28938,Waschbims,Bims / Blähschüttung,Dep+,RC+,0.75,
"Wasserdichte, flexible Schutzschicht unter keramischen Belägen in Duschen u Bäden",nicht vorhanden,58721f56-ae5c-453f-8074-3cefc87403c1,"Wasserdichte, flexible Schutzschicht unter keramischen Belägen in Duschen u Bäden","Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep+,Dep+,0,
Wasserlack weiß,0f072f06-faa5-466e-970c-a7215685f5a2,3ec35876-5628-4749-a50c-f96e02a7e09e,Wasserlack weiß,Lacke (auf Holzuntergrund),EV-,EV-,0,
WC Sitz/Deckel (Duroplast),nicht vorhanden,6ec85308-cc64-4db8-9e28-1067be4c56d6,WC Sitz/Deckel (Duroplast),nicht eingestuft,n.e.,n.e.,n.e.,
WDVS EPS mit Schienenbefestigung,nicht vorhanden,1c8141cb-84f5-4ee9-95e4-cf83e754cc2f,WDVS EPS mit Schienenbefestigung,nicht eingestuft,n.e.,n.e.,n.e.,
WDVS Verklebung und Beschichtung Dekorputz mineralisch,49fe2b06-ea9c-4cef-b0a1-a75fd1ed6bf8,f873f2a7-560a-410c-97e7-dfe121134b26,WDVS Verklebung und Beschichtung Dekorputz mineralisch,WDVS - Putz etc.,Dep-,Dep-,0,
WDVS Verklebung und Beschichtung Kratzputz mineralisch,e5cd5727-a516-4081-8fdf-4fc0ce142d90,8dec64ad-430f-4c96-bae1-e46814af2b70,WDVS Verklebung und Beschichtung Kratzputz mineralisch,WDVS - Putz etc.,Dep-,Dep-,0,
WDVS Verklebung und Beschichtung Kunstharzputz,88cc57f7-384d-47a3-826a-e4fce57a32bd,46a05844-3fbf-47ef-889a-e7f1a4b4f825,WDVS Verklebung und Beschichtung Kunstharzputz,WDVS - Putz etc.,Dep-,Dep-,0,
WDVS Verklebung und Beschichtung Leichtputz mineralisch,6108c144-5112-4f18-bcb1-d1ff8eb831a6,aeb54e7e-6950-41c5-a10e-0ba3b38ea774,WDVS Verklebung und Beschichtung Leichtputz mineralisch,WDVS - Putz etc.,Dep-,Dep-,0,
WDVS Verklebung und Beschichtung Silikat-Dispersionsputz,94ef6ac0-956a-4d60-9062-990df91e7917,2d42602d-9913-43ed-8703-d953f7854bca,WDVS Verklebung und Beschichtung Silikat-Dispersionsputz,WDVS - Putz etc.,Dep-,Dep-,0,
WDVS Verklebung und Beschichtung Silikonharzputz,1b84e630-6489-493e-a066-1b976684dd03,6e95743d-cdf3-4646-a6ea-f9b2bb752821,WDVS Verklebung und Beschichtung Silikonharzputz,organ. Putz,Dep-,Dep-,0,
WPC (Wood Plastic Composite) Terrassendiele,nicht vorhanden,4a6ffbb6-e7bc-4861-82ba-ee6a6704250f,Wood-Plastic-Composites,WPC,EB,EB,0,
WPC (Wood Plastic Composite) Terrassendiele,nicht vorhanden,4a6ffbb6-e7bc-4861-82ba-ee6a6704250f,Wood-Plastic-Composites (halogenfrei),WPC - Nachweis halogenfrei,EV-,EV-,0,
Zellulosefaser Einblas-Dämmstoff,c355d75b-9026-4899-a41c-e5d221c424f2,e08642c5-4c81-4170-9130-d7fa8fb6509f,Zellulosefaser Einblas-Dämmstoff,Zellulosefaserflocken,EV-,RC+,0.75,
Zellulosefaserplatten,cf963fcb-0e03-48c0-b501-ad0d1e3c22c0,acf6b988-2458-4ddc-aef8-9a6cd3a78485,Zellulosefaserplatten,Zellulosefaserplatten,EV-,EV-,0,
"Zement (CEM II 32,5)",63f50bbb-8257-47fe-93d5-ca5ad26e5187,55af842c-7d33-4d0c-b33b-ac7564e573bf,"Zement (CEM II 32,5)",nicht eingestuft,n.e.,n.e.,n.e.,
"Zement (CEM II 42,5)",08d59fb4-e75c-4f31-82f2-caa0bcaa5f04,b29a4886-1bcf-4c3c-9df3-206ef1075fd6,"Zement (CEM II 42,5)",nicht eingestuft,n.e.,n.e.,n.e.,
"Zement (CEM II 52,5)",efb06021-90c7-411f-a85c-8dfa000f0004,d4f9c71a-c59d-43b4-ac7a-27d959bbec11,"Zement (CEM II 52,5)",nicht eingestuft,n.e.,n.e.,n.e.,
Zement (CEM II/A),bff1b0ac-5d16-4cce-9e5d-a3269eff093c,49b9328a-3e77-4cea-98b8-5704a7b24883,Zement (CEM II/A),nicht eingestuft,n.e.,n.e.,n.e.,
Zement (CEM II/B),df40fb5f-9a10-422d-8d95-69a3af9d0d96,304088d3-b7e0-4e6c-ac37-2044e7587bf1,Zement (CEM II/B),nicht eingestuft,n.e.,n.e.,n.e.,
"Zement (CEM III 42,5)",55105a8e-947d-47fe-a98e-3bcf356edfdc,a6376437-3772-4938-b7bb-d97b60628f11,"Zement (CEM III 42,5)",nicht eingestuft,n.e.,n.e.,n.e.,
"Zement (CEM III 52,5)",2a770c8c-5b2e-47ac-991c-12628c334818,481003fc-00ca-42c3-8a93-d205a0793e0c,"Zement (CEM III 52,5)",nicht eingestuft,n.e.,n.e.,n.e.,
"Zement (CEM IV 32,5)",ca486c76-6f0d-4c19-bd16-22de46ac06fd,1bf1d9f6-3872-4fd7-937c-2a98b4413496,"Zement (CEM IV 32,5)",nicht eingestuft,n.e.,n.e.,n.e.,
"Zement (CEM IV 42,5)",a43dd541-cfd8-4ff5-b632-67dcece91095,a70ee09d-69c6-4b6b-99e8-7a267fb4af6a,"Zement (CEM IV 42,5)",nicht eingestuft,n.e.,n.e.,n.e.,
Zementestrich,0973f221-2284-4892-ae3d-1b8c2986b6dd,abc6d78d-f274-4400-8f31-fe8d4c2949c9,Zementestrich,Estrich CT - Zementestrich,Dep+,RC-,0.25,
Zementgebundene Spanplatte (generisch),a0d69f94-040e-44b1-a88b-bbaeeb0aae2a,c772eb77-7b60-4b1f-8b5b-0be23e26549a,Zementgebundene Spanplatte,Holzzement,Dep-,SV,0.25,
Zementmörtel,b2c3f5a3-7858-4644-a49a-2eb883d37c91,9a08a2a7-b986-4b1a-b61f-ba65cc7414aa,Zementmörtel,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0,
Zinkblech,nicht vorhanden,c0e75107-cbcc-42ac-9b33-760efa5f90bf,Zinkbleche,Zink,CL+,CL+,1,
